,Latitude,Longitude,Restaurant Name,Legal Business Name,Postcode,Food Service Establishment Permit #,Business Address,Landmark District or Building
6829,40.865028,-73.92695400000001,MCDONALD'S,"SDJR SYSTEMS 1, LLC",10040,50010395,"208 DYCKMAN STREET, Manhattan, NY",no
6830,40.73236,-73.998889,North Square,Cafe CIII LLC,10011,41289750,"103 Waverly Place, Manhattan, NY",yes
6831,40.748020000000004,-73.946936,LIC MARKET,LIC MARKET AT 44TH DRIVE INC,11101,41495962,"2152 44TH DRIVE, Queens, NY",no
6832,40.755687,-73.88423399999999,Parrilladas Sunrise Bar Corp,Parrilladas Sunrise Bar Corp,11372,50017569,"83-11 Northern Blvd, Queens, NY",no
6833,40.737053,-73.98445500000001,BARFLY NY,BARFLY NYC INC,10010,50059249,"244  3RD AVE, Manhattan, NY",no
6834,40.660815,-74.000112,Dec-01,Brooklyn strength and conditioning inc.,11232,76800901,"148 26th street, Brooklyn, NY",no
6835,40.746118,-73.91404200000001,TJ Asian Bistro,Ru Lin Management LLC,11377,50077630,"50-19 Skillman Ave, Queens, NY",no
6836,40.683135,-73.99289,BARELY DISFIGURED,"VANDREY, LLC",11231,50065683,"257 SMITH ST, Brooklyn, NY",no
6837,40.739490999999994,-73.995948,Da Umberto,Da Umberto Restaurant Inc,10011,40387162,"107  West 17, Manhattan, NY",no
6838,40.68711,-73.975445,BROOKLYN HOSPITALITY PARTNERS LLC,BROOKLYN HOSPITALITY PARTNERS LLC,11217,50108398,"71 LAFAYETTE AVENUE, Brooklyn, NY",no
6839,40.77933,-73.983358,ASHFORD & SIMPSON'S SUGAR BAR,SUGAR BAR INC.,10023,40561340,"254  WEST 72 STREET, Manhattan, NY",yes
6840,40.758568,-73.91810799999999,Circulo Espanol,Circulo Espanol Inc.,11103,50049489,"4101 Broadway, Queens, NY",no
6841,40.704409999999996,-74.010211,Adrienne's Pizza Bar,Pizza on Stone LLC,10004,41112524,"54 Stone Street, Manhattan, NY",no
6842,40.702116,-73.82056999999999,Tilt Lounge Corp,Tilt Lounge Corp,11418,50084015,"13115  Jamaica Avenue, Queens, NY",no
